ii libsamplerate-0.1.9_1                     Sample Rate Converter for audio
ii libsane-1.0.31_3                          Scanner Access Now Easy - runtime shared library
ii libsasl-2.1.27_2                          Cyrus SASL - runtime shared libraries
ii libseat-0.5.0_1                           Universal seat management library
ii libseat-devel-0.5.0_1                     Universal seat management library - development files
ii libseccomp-2.4.3_2                        High level interface to the Linux Kernel's seccomp filter
ii libsecret-0.20.4_1                        GObject based library for accessing the Secret Service API
ii libsensors-3.6.0_1                        Library to read temperature/voltage/fan sensors
ii libsigc++-2.10.3_1                        Type-safe callback system for C++ programs
ii libsmartcols-2.37.2_1                     Table or Tree library from util-linux
ii libsndfile-1.0.31_1                       C library for reading and writing files containing sampled sound
ii libsndio-1.8.1_1                          Small audio and MIDI framework part of the OpenBSD project -- library
ii libsodium-1.0.18_1                        Modern and easy-to-use crypto library
ii libsoup-2.72.0_1                          HTTP library implementation in C
ii libsoxr-0.1.3_2                           SoX resampler library
ii libspeex-1.2.0_2                          Free codec for free speech - shared libraries
ii libssh2-1.9.0_3                           Library implementing the SSH2 protocol
ii libssl1.1-1.1.1l_1                        Toolkit for Secure Sockets Layer and Transport Layer Security - SSL/TLS library
ii libssp-10.2.1pre1_3                       GNU Compiler Collection - SSP (StackSmashingProtection) library
ii libssp-devel-10.2.1pre1_3                 GNU Compiler Collection - SSP (StackSmashingProtection) library - development files
ii libstdc++-10.2.1pre1_3                    GNU Compiler Collection - Standard C++ Library
ii libstdc++-devel-10.2.1pre1_3              GNU Compiler Collection - Standard C++ Library - development files
ii libswresample-4.3.2_4                     FFmpeg video resampling library
ii libswscale-4.3.2_4                        FFmpeg video scaling library
ii libtasn1-4.17.0_1                         ASN.1 structure parser library
ii libtdb-1.4.3_1                            Trivial Database, similar to GDBM but allows simultaneous commits - shared libraries
ii libtermkey-0.22_1                         Library for processing keyboard entry from terminal-based programs
ii libthai-0.1.28_1                          Thai language support routines
ii libtheora-1.1.1_8                         Theora Video Compression Codec
ii libtirpc-1.3.2_1                          Transport Independent RPC library (SunRPC replacement)
ii libunbound-1.13.2_1                       Validating, recursive, and caching DNS resolver - shared library
ii libunistring-0.9.10_1                     Library for manipulating Unicode strings and C strings
ii libusb-1.0.24_2                           Library which allows userspace access to USB devices
ii libusbmuxd-2.0.2_1                        USB Multiplex Daemon library
ii libuuid-2.37.2_1                          UUID library
ii libuuid-devel-2.37.2_1                    UUID library development files
ii libuv-1.41.0_1                            Multi-platform support library with a focus on asynchronous I/O
ii libva-2.12.0_1                            Video Acceleration (VA) API
ii libvamp-plugin-sdk-2.10.0_1               Vamp audio analysis plugin system - Runtime libraries
ii libvdpau-1.4_1                            Video Decode and Presentation API for UNIX
ii libvidstab-1.1.0_1                        Video stabilization library
ii libvisual-0.4.0_9                         Abstraction library for audio visualisation plugins
ii libvorbis-1.3.7_1                         The Vorbis General Audio Compression Codec
ii libvpx6-1.9.0_2                           VP8 and VP9 video codec
ii libvterm-0.1.4_1                          Abstract VT220/xterm/ECMA-48 emulation library
ii libwacom-1.12_1                           Library to identify wacom tablets
ii libwacom-devel-1.12_1                     Library to identify wacom tablets - development files
ii libwavpack-5.4.0_1                        Hybrid lossless audio compression - shared library
ii libwebp-1.2.1_1                           WebP image format
ii libxatracker-21.2.3_1                     Mesa XA tracker interface library
ii libxbps-0.59.1_5                          XBPS package system utilities - runtime library
ii libxcb-1.14_2                             X protocol C-language Binding
ii libxcb-devel-1.14_2                       X protocol C-language Binding - development files
ii libxkbcommon-1.3.0_3                      Library to handle keyboard descriptions
ii libxkbcommon-devel-1.3.0_3                Library to handle keyboard descriptions - development files
ii libxkbcommon-x11-1.3.0_3                  Library to handle keyboard descriptions - X11 support
ii libxkbfile-1.1.0_1                        Xkbfile Library from X.org
ii libxkbregistry-1.3.0_3                    XKB API to query available rules, models, layouts, variants and options
ii libxml2-2.9.10_5                          Library providing XML and HTML support
ii libxshmfence-1.3_2                        X Shared memory 'SyncFence' synchronization primitive
ii libxshmfence-devel-1.3_2                  X Shared memory 'SyncFence' synchronization primitive - development files
ii libxslt-1.1.34_5                          XSLT parser library from the GNOME project
ii libyaml-0.2.5_1                           Fast YAML 1.1 parser and emitter library
ii libzip-1.8.0_1                            C library for reading, creating, and modifying zip archives
ii libzstd-1.5.0_1                           Fast real-time compression algorithm
ii libzstd-devel-1.5.0_1                     Fast real-time compression algorithm - development files
